DATE,EVENTS CHECKED,VOILATIONS FOUND,AS PER RULE,THROUGH PASS,VOILATIONS PROVED
2026-01-01,696,3,57,636,0
2026-01-02,783,3,56,724,0
2026-01-03,702,0,48,654,0
2026-01-04,746,3,61,682,0
2026-01-05,628,2,46,580,0
2026-01-06,643,1,51,591,0
2026-01-07,707,5,45,657,0
2026-01-08,706,1,57,548,0
2026-01-09,667,1,51,615,0
2026-01-10,816,2,45,769,0
2026-01-11,689,1,44,644,0
2026-01-12,716,1,52,663,0
2026-01-13,681,2,35,644,0
2026-01-14,695,0,57,638,0
2026-01-15,767,2,32,733,0
2026-01-16,677,0,43,634,0
2026-01-17,770,3,54,713,0
2026-01-18,723,1,44,678,0
2026-01-19,732,2,49,681,0
2026-01-20,665,0,26,639,0
2026-01-21,634,2,33,599,0
2026-01-22,665,2,48,615,0
2026-01-23,635,3,46,585,2
2026-01-24,625,1,44,580,0
2026-01-25,660,6,45,609,1
2026-01-26,599,2,43,554,2
2026-01-27,671,5,40,626,0
2026-01-28,759,5,52,702,0
2026-01-29,697,4,51,642,1
2026-01-30,724,8,45,671,2
